source_parser,parser,run,mrd,checkpoint,n_t,n_frontier,gotu_est,rho,blocks_seen,log_err_shallow,zc_rate_shallow,n_blocks_shallow,log_err_medium,zc_rate_medium,n_blocks_medium,log_err_deep,zc_rate_deep,n_blocks_deep
parsera_b,parsera,parsera_run_4,35.82,0.1,4223602,197,4.735294660813211e-07,0.8917557821437453,1741,5.433340160778542,1.0,73,5.480180575279266,0.7701038396522579,8282,5.172770629272783,0.1130014326647564,5584
parsera_b,parsera,parsera_run_4,35.82,0.25,10559006,197,0.0,0.8876523252922158,1807,5.792424501428826,1.0,69,5.811306780157813,0.7683698296836983,8220,5.305942639784747,0.1130014326647564,5584
parsera_b,parsera,parsera_run_4,35.82,0.5,21118012,197,0.0,0.8834245212633673,1875,6.0733184227717825,1.0,60,6.048252258455497,0.7666952579340767,8161,5.418571780243427,0.1130014326647564,5584
parsera_b,parsera,parsera_run_4,35.82,0.75,31677018,197,0.0,0.8798184531211142,1933,6.239161217874292,1.0,60,6.178398505238228,0.7650252992718746,8103,5.486867276517999,0.1130014326647564,5584
parsera_b,parsera,parsera_run_4,35.82,1.0,42236024,197,0.0,0.8780775926386472,1961,6.358836581343227,1.0,60,6.275514271913555,0.7642105263157895,8075,5.541170922200475,0.1130014326647564,5584
parsera_b,parsera,parsera_run_5,35.82,0.1,9066847,197,0.0,0.892874906739617,1723,5.762278834598078,1.0,71,5.807252620660182,0.7706576728499157,8302,5.300394643256396,0.1130014326647564,5584
parsera_b,parsera,parsera_run_5,35.82,0.25,22667117,197,0.0,0.8862845063417061,1829,6.111079771820709,1.0,64,6.103469500267767,0.7678897964159453,8203,5.445210968765779,0.1130014326647564,5584
parsera_b,parsera,parsera_run_5,35.82,0.5,45334235,197,0.0,0.877953245461328,1963,6.407155600429844,1.0,62,6.305091474844511,0.764093668690373,8071,5.553412007894632,0.1130014326647564,5584
parsera_b,parsera,parsera_run_5,35.82,0.75,68001353,197,0.0,0.872855011191246,2045,6.566981515818652,1.0,58,6.416029693313989,0.761791567621669,7993,5.629775375427188,0.1130014326647564,5584
parsera_b,parsera,parsera_run_5,35.82,1.0,90668471,197,0.0,0.8657672220840587,2159,6.7211053305898325,1.0,53,6.466996821509373,0.7584982242516489,7884,5.689419686150396,0.1130014326647564,5584
parsera_b,parsera,parsera_run_6,35.82,0.1,9688640,197,0.0,0.8897662273066401,1773,5.769647114887949,1.0,72,5.807331489205489,0.7692400921100473,8251,5.297154799521256,0.1130014326647564,5584
